id,category,sentence
1,사회,공정은 우리 편일 때만 외치는 거지.
2,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
3,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
4,사회,정치는 국민이 아니라 이미지 싸움이더라.
5,사회,세금은 잘도 걷는데 복지는 사라졌네?
6,사회,사과는 했는데 책임은 없대.
7,사회,투표는 했는데 결과는 항상 똑같네?
8,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
9,사회,이해충돌? 그건 권력자에겐 예외지.
10,사회,위기를 기회로 만든다며 남의 집을 태우더라.
11,사회,공정은 우리 편일 때만 외치는 거지.
12,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
13,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
14,사회,정치는 국민이 아니라 이미지 싸움이더라.
15,사회,세금은 잘도 걷는데 복지는 사라졌네?
16,사회,사과는 했는데 책임은 없대.
17,사회,투표는 했는데 결과는 항상 똑같네?
18,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
19,사회,이해충돌? 그건 권력자에겐 예외지.
20,사회,위기를 기회로 만든다며 남의 집을 태우더라.
21,사회,공정은 우리 편일 때만 외치는 거지.
22,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
23,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
24,사회,정치는 국민이 아니라 이미지 싸움이더라.
25,사회,세금은 잘도 걷는데 복지는 사라졌네?
26,사회,사과는 했는데 책임은 없대.
27,사회,투표는 했는데 결과는 항상 똑같네?
28,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
29,사회,이해충돌? 그건 권력자에겐 예외지.
30,사회,위기를 기회로 만든다며 남의 집을 태우더라.
31,사회,공정은 우리 편일 때만 외치는 거지.
32,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
33,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
34,사회,정치는 국민이 아니라 이미지 싸움이더라.
35,사회,세금은 잘도 걷는데 복지는 사라졌네?
36,사회,사과는 했는데 책임은 없대.
37,사회,투표는 했는데 결과는 항상 똑같네?
38,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
39,사회,이해충돌? 그건 권력자에겐 예외지.
40,사회,위기를 기회로 만든다며 남의 집을 태우더라.
41,사회,공정은 우리 편일 때만 외치는 거지.
42,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
43,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
44,사회,정치는 국민이 아니라 이미지 싸움이더라.
45,사회,세금은 잘도 걷는데 복지는 사라졌네?
46,사회,사과는 했는데 책임은 없대.
47,사회,투표는 했는데 결과는 항상 똑같네?
48,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
49,사회,이해충돌? 그건 권력자에겐 예외지.
50,사회,위기를 기회로 만든다며 남의 집을 태우더라.
51,사회,공정은 우리 편일 때만 외치는 거지.
52,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
53,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
54,사회,정치는 국민이 아니라 이미지 싸움이더라.
55,사회,세금은 잘도 걷는데 복지는 사라졌네?
56,사회,사과는 했는데 책임은 없대.
57,사회,투표는 했는데 결과는 항상 똑같네?
58,사회,"미래세대를 위한 정책이라더니, 정작 미래세대는 못 살아남아."
59,사회,이해충돌? 그건 권력자에겐 예외지.
60,사회,위기를 기회로 만든다며 남의 집을 태우더라.
61,사회,공정은 우리 편일 때만 외치는 거지.
62,사회,"노력하면 다 된대, 그 노력은 왜 대물림되는데?"
63,사회,언론 자유가 있긴 해. 다만 누가 주인인지는 모르겠지만.
64,사회,정치는 국민이 아니라 이미지 싸움이더라.
65,사회,세금은 잘도 걷는데 복지는 사라졌네?
66,사회,사과는 했는데 책임은 없대.
